country;year;month;MCS;CG;volume(Kg);weight;value(EUR)
Hungary;2014;11;Miscellaneous aquatic products;Other unspecified products;404046.2;Net weight;1645558.67
Hungary;2014;12;Miscellaneous aquatic products;Other unspecified products;2477288.3;Net weight;9893498.28
Hungary;2014;2;Miscellaneous aquatic products;Other unspecified products;400806.2;Net weight;1660694.28
Hungary;2014;3;Miscellaneous aquatic products;Other unspecified products;467543.2;Net weight;1867615.81
Hungary;2014;4;Miscellaneous aquatic products;Other unspecified products;648918.1;Net weight;2455713.45
Hungary;2014;5;Miscellaneous aquatic products;Other unspecified products;348380.0;Net weight;1566014.72
Hungary;2014;6;Miscellaneous aquatic products;Other unspecified products;349366.3;Net weight;1448909.88
Hungary;2014;7;Miscellaneous aquatic products;Other unspecified products;203494.5;Net weight;919410.77
Hungary;2014;8;Miscellaneous aquatic products;Other unspecified products;406865.0;Net weight;1548975.19
Hungary;2014;9;Miscellaneous aquatic products;Other unspecified products;374240.0;Net weight;1490527.03
Hungary;2013;1;Miscellaneous aquatic products;Other unspecified products;312231.2;Net weight;1070511.92
Hungary;2013;10;Miscellaneous aquatic products;Other unspecified products;398565.0;Net weight;1754298.08
Hungary;2013;11;Miscellaneous aquatic products;Other unspecified products;631929.0;Net weight;2407073.87
Hungary;2013;12;Miscellaneous aquatic products;Other unspecified products;2673174.6;Net weight;1.04924493E7
Hungary;2013;2;Miscellaneous aquatic products;Other unspecified products;378048.3;Net weight;1276638.06
Hungary;2013;3;Miscellaneous aquatic products;Other unspecified products;616207.0;Net weight;1997656.81
Hungary;2013;4;Miscellaneous aquatic products;Other unspecified products;372087.2;Net weight;1296436.54
Hungary;2013;5;Miscellaneous aquatic products;Other unspecified products;475609.4;Net weight;1868393.78
Hungary;2013;6;Miscellaneous aquatic products;Other unspecified products;515286.0;Net weight;1501975.38
Hungary;2013;7;Miscellaneous aquatic products;Other unspecified products;328787.2;Net weight;1273357.04
Hungary;2013;8;Miscellaneous aquatic products;Other unspecified products;296705.8;Net weight;1261530.88
Hungary;2013;9;Miscellaneous aquatic products;Other unspecified products;338443.8;Net weight;1492635.11
Hungary;2012;1;Miscellaneous aquatic products;Other unspecified products;386249.9;Net weight;1237312.76
Hungary;2012;10;Miscellaneous aquatic products;Other unspecified products;381483.9;Net weight;1455219.22
Hungary;2012;11;Miscellaneous aquatic products;Other unspecified products;411769.5;Net weight;1581913.8
Hungary;2012;12;Miscellaneous aquatic products;Other unspecified products;2482011.0;Net weight;9382999.29
Hungary;2012;2;Miscellaneous aquatic products;Other unspecified products;285617.7;Net weight;1131625.4
Hungary;2012;3;Miscellaneous aquatic products;Other unspecified products;551111.3;Net weight;1892807.8
Hungary;2012;4;Miscellaneous aquatic products;Other unspecified products;438228.7;Net weight;1506010.2
Hungary;2012;5;Miscellaneous aquatic products;Other unspecified products;300813.4;Net weight;1105333.93
Hungary;2012;6;Miscellaneous aquatic products;Other unspecified products;312464.5;Net weight;1077599.94
Hungary;2012;7;Miscellaneous aquatic products;Other unspecified products;327879.4;Net weight;1327725.87
Hungary;2012;8;Miscellaneous aquatic products;Other unspecified products;274152.4;Net weight;1225617.33
Hungary;2012;9;Miscellaneous aquatic products;Other unspecified products;403998.2;Net weight;1568891.05
Ireland;2024;1;Groundfish;Cod;85792.07;Net weight;1167309.76
Ireland;2024;1;Salmonids;Salmon;444699.02;Net weight;8966742.94
Ireland;2024;1;Miscellaneous aquatic products;Other unspecified products;101666.68;Net weight;1565122.73
Ireland;2024;1;Groundfish;Haddock;60650.8;Net weight;797931.28
Ireland;2024;1;Crustaceans;Shrimp, miscellaneous;47423.85;Net weight;1055759.19
Ireland;2024;1;Groundfish;Saithe (=Coalfish);27186.68;Net weight;326392.45
Ireland;2024;1;Groundfish;Hake;41063.0;Net weight;559726.77
Ireland;2024;1;Small pelagics;Mackerel;24902.88;Net weight;346546.47
Ireland;2024;10;Groundfish;Hake;35489.42;Net weight;524302.43
Ireland;2024;10;Small pelagics;Mackerel;12444.93;Net weight;172902.97
Ireland;2024;10;Groundfish;Cod;72932.69;Net weight;1063224.96
Ireland;2024;10;Salmonids;Salmon;444654.9;Net weight;9126180.45
Ireland;2024;10;Crustaceans;Shrimp, miscellaneous;51982.54;Net weight;973972.12
Ireland;2024;10;Groundfish;Haddock;60149.43;Net weight;807822.96
Ireland;2024;10;Miscellaneous aquatic products;Other unspecified products;97050.53;Net weight;1548487.67
Ireland;2024;10;Groundfish;Saithe (=Coalfish);19712.43;Net weight;258772.84
Ireland;2024;2;Small pelagics;Mackerel;54019.96;Net weight;651029.31
Ireland;2024;2;Groundfish;Cod;86426.67;Net weight;1299892.59
Ireland;2024;2;Salmonids;Salmon;494829.0;Net weight;1.030424705E7
Ireland;2024;2;Groundfish;Haddock;88528.38;Net weight;1253077.21
Ireland;2024;2;Miscellaneous aquatic products;Other unspecified products;144010.67;Net weight;2158821.99
Ireland;2024;2;Crustaceans;Shrimp, miscellaneous;52661.2;Net weight;1215454.3
Ireland;2024;2;Groundfish;Saithe (=Coalfish);39246.42;Net weight;473218.87
Ireland;2024;2;Groundfish;Hake;68302.36;Net weight;1002829.75
Ireland;2024;3;Small pelagics;Mackerel;33675.9;Net weight;433248.74
Ireland;2024;3;Groundfish;Cod;98135.13;Net weight;1424995.37
Ireland;2024;3;Salmonids;Salmon;581357.38;Net weight;1.20116023E7
Ireland;2024;3;Groundfish;Haddock;102500.95;Net weight;1389160.76
Ireland;2024;3;Miscellaneous aquatic products;Other unspecified products;123026.88;Net weight;1871724.24
Ireland;2024;3;Crustaceans;Shrimp, miscellaneous;80955.24;Net weight;1687498.0
Ireland;2024;3;Groundfish;Saithe (=Coalfish);30921.94;Net weight;383524.62
Ireland;2024;3;Groundfish;Hake;66362.46;Net weight;906533.66
Ireland;2024;4;Salmonids;Salmon;450082.31;Net weight;9174132.12
Ireland;2024;4;Groundfish;Cod;74656.4;Net weight;1087628.05
Ireland;2024;4;Small pelagics;Mackerel;31006.48;Net weight;387273.2
Ireland;2024;4;Crustaceans;Shrimp, miscellaneous;72292.15;Net weight;1588778.06
Ireland;2024;4;Groundfish;Haddock;79567.27;Net weight;1136970.51
Ireland;2024;4;Miscellaneous aquatic products;Other unspecified products;72637.52;Net weight;1204495.57
Ireland;2024;4;Groundfish;Hake;46599.6;Net weight;606966.38
Ireland;2024;4;Groundfish;Saithe (=Coalfish);26213.12;Net weight;343456.11
Ireland;2024;5;Miscellaneous aquatic products;Other unspecified products;83932.52;Net weight;1272174.92
Ireland;2024;5;Groundfish;Haddock;67594.03;Net weight;887143.4
Ireland;2024;5;Crustaceans;Shrimp, miscellaneous;48493.54;Net weight;1042899.55
Ireland;2024;5;Groundfish;Saithe (=Coalfish);16437.49;Net weight;206056.37
Ireland;2024;5;Groundfish;Hake;42252.18;Net weight;617540.14
Ireland;2024;5;Small pelagics;Mackerel;41935.78;Net weight;497169.45
Ireland;2024;5;Groundfish;Cod;94706.51;Net weight;1441916.39
Ireland;2024;5;Salmonids;Salmon;451945.75;Net weight;9365588.31
Ireland;2024;6;Salmonids;Salmon;523430.79;Net weight;1.080636932E7
Ireland;2024;6;Groundfish;Cod;93301.36;Net weight;1437600.33
Ireland;2024;6;Small pelagics;Mackerel;35139.21;Net weight;444262.15
Ireland;2024;6;Groundfish;Hake;50244.19;Net weight;699029.67
Ireland;2024;6;Groundfish;Saithe (=Coalfish);20663.58;Net weight;241547.94
Ireland;2024;6;Crustaceans;Shrimp, miscellaneous;82000.75;Net weight;1724376.01
Ireland;2024;6;Groundfish;Haddock;73920.2;Net weight;904074.17
Ireland;2024;6;Miscellaneous aquatic products;Other unspecified products;108944.38;Net weight;1656176.99
Ireland;2024;7;Salmonids;Salmon;440434.3;Net weight;9355395.42
Ireland;2024;7;Groundfish;Cod;74221.39;Net weight;1078914.45
Ireland;2024;7;Small pelagics;Mackerel;34448.64;Net weight;436431.45
Ireland;2024;7;Groundfish;Hake;59893.34;Net weight;787555.55
Ireland;2024;7;Groundfish;Saithe (=Coalfish);15236.7;Net weight;201986.61
Ireland;2024;7;Crustaceans;Shrimp, miscellaneous;58948.16;Net weight;1150138.45
Ireland;2024;7;Groundfish;Haddock;48399.62;Net weight;577163.5
Ireland;2024;7;Miscellaneous aquatic products;Other unspecified products;81645.89;Net weight;1071151.32
Ireland;2024;8;Salmonids;Salmon;404401.88;Net weight;8544607.06
Ireland;2024;8;Groundfish;Cod;88719.78;Net weight;1219745.01
Ireland;2024;8;Small pelagics;Mackerel;31083.87;Net weight;383603.46
Ireland;2024;8;Groundfish;Hake;32939.57;Net weight;476594.01
Ireland;2024;8;Groundfish;Saithe (=Coalfish);20185.28;Net weight;255846.8
Ireland;2024;8;Crustaceans;Shrimp, miscellaneous;64028.59;Net weight;1411491.5
Ireland;2024;8;Groundfish;Haddock;59497.35;Net weight;697229.5
Ireland;2024;8;Miscellaneous aquatic products;Other unspecified products;86552.31;Net weight;1197830.94
Ireland;2024;9;Crustaceans;Shrimp, miscellaneous;69166.31;Net weight;1388993.39
Ireland;2024;9;Groundfish;Saithe (=Coalfish);25087.09;Net weight;309923.56
Ireland;2024;9;Groundfish;Hake;60282.9;Net weight;805139.54
Ireland;2024;9;Small pelagics;Mackerel;23321.68;Net weight;354336.89
Ireland;2024;9;Groundfish;Cod;87525.36;Net weight;1272092.46
Ireland;2024;9;Salmonids;Salmon;519833.58;Net weight;1.068812572E7
Ireland;2024;9;Miscellaneous aquatic products;Other unspecified products;116815.93;Net weight;1684306.48
Ireland;2024;9;Groundfish;Haddock;86199.01;Net weight;1094654.73
Ireland;2023;1;Salmonids;Salmon;539622.04;Net weight;1.076003867E7
Ireland;2023;1;Groundfish;Cod;120362.37;Net weight;1835707.06
Ireland;2023;1;Small pelagics;Mackerel;50516.79;Net weight;619015.77
Ireland;2023;1;Groundfish;Hake;51273.63;Net weight;648782.1
Ireland;2023;1;Groundfish;Saithe (=Coalfish);18766.2;Net weight;224713.99
Ireland;2023;1;Crustaceans;Shrimp, miscellaneous;74219.07;Net weight;1548961.73
Ireland;2023;1;Groundfish;Haddock;74438.0;Net weight;1066842.41
Ireland;2023;1;Miscellaneous aquatic products;Other unspecified products;128575.11;Net weight;1840424.51
Ireland;2023;10;Small pelagics;Mackerel;27543.41;Net weight;356365.14
Ireland;2023;10;Groundfish;Cod;88628.97;Net weight;1345248.92
Ireland;2023;10;Salmonids;Salmon;548209.52;Net weight;1.120639892E7
Ireland;2023;10;Groundfish;Hake;49266.28;Net weight;715138.25
Ireland;2023;10;Groundfish;Saithe (=Coalfish);22679.26;Net weight;279505.66
Ireland;2023;10;Crustaceans;Shrimp, miscellaneous;68078.65;Net weight;1424337.79
Ireland;2023;10;Groundfish;Haddock;71096.87;Net weight;911019.89
Ireland;2023;10;Miscellaneous aquatic products;Other unspecified products;130293.04;Net weight;1852391.27
Ireland;2023;11;Salmonids;Salmon;441620.08;Net weight;8926384.57
Ireland;2023;11;Groundfish;Cod;73914.03;Net weight;1023219.67
Ireland;2023;11;Small pelagics;Mackerel;23454.41;Net weight;293908.54
Ireland;2023;11;Groundfish;Hake;36110.85;Net weight;497767.1
Ireland;2023;11;Groundfish;Saithe (=Coalfish);18677.8;Net weight;230519.39
Ireland;2023;11;Crustaceans;Shrimp, miscellaneous;51473.28;Net weight;1003308.92
Ireland;2023;11;Groundfish;Haddock;58473.03;Net weight;781819.8
Ireland;2023;11;Miscellaneous aquatic products;Other unspecified products;126434.36;Net weight;1858140.18
Ireland;2023;12;Crustaceans;Shrimp, miscellaneous;96515.47;Net weight;2315778.24
Ireland;2023;12;Groundfish;Saithe (=Coalfish);13898.76;Net weight;170915.65
Ireland;2023;12;Miscellaneous aquatic products;Other unspecified products;131041.46;Net weight;2206880.14
Ireland;2023;12;Groundfish;Hake;31559.93;Net weight;419359.72
Ireland;2023;12;Groundfish;Haddock;46476.35;Net weight;605831.87
Ireland;2023;12;Small pelagics;Mackerel;18448.31;Net weight;220315.86
Ireland;2023;12;Groundfish;Cod;59530.52;Net weight;872330.59
Ireland;2023;12;Salmonids;Salmon;541121.23;Net weight;1.173519821E7
Ireland;2023;2;Groundfish;Saithe (=Coalfish);30925.83;Net weight;366373.19
Ireland;2023;2;Miscellaneous aquatic products;Other unspecified products;170698.33;Net weight;2088345.06
Ireland;2023;2;Groundfish;Haddock;78464.02;Net weight;1117160.89
Ireland;2023;2;Crustaceans;Shrimp, miscellaneous;52272.21;Net weight;1014871.78
Ireland;2023;2;Groundfish;Hake;94149.67;Net weight;1269615.36
Ireland;2023;2;Small pelagics;Mackerel;33049.69;Net weight;392256.44
Ireland;2023;2;Groundfish;Cod;125923.7;Net weight;1674823.41
Ireland;2023;2;Salmonids;Salmon;488055.49;Net weight;9282893.65
Ireland;2023;3;Salmonids;Salmon;480129.11;Net weight;9306536.04
Ireland;2023;3;Groundfish;Cod;98789.77;Net weight;1449893.17
Ireland;2023;3;Small pelagics;Mackerel;38516.55;Net weight;434135.72
Ireland;2023;3;Groundfish;Hake;92471.84;Net weight;1328584.88
Ireland;2023;3;Groundfish;Saithe (=Coalfish);45610.54;Net weight;515882.9
Ireland;2023;3;Crustaceans;Shrimp, miscellaneous;54816.31;Net weight;1086900.27
Ireland;2023;3;Groundfish;Haddock;65595.41;Net weight;756705.75
Ireland;2023;3;Miscellaneous aquatic products;Other unspecified products;163494.06;Net weight;2056051.36
Ireland;2023;4;Salmonids;Salmon;539138.17;Net weight;1.15962067E7
Ireland;2023;4;Groundfish;Cod;120476.24;Net weight;1850443.59
Ireland;2023;4;Small pelagics;Mackerel;38329.95;Net weight;469558.96
Ireland;2023;4;Groundfish;Hake;104528.87;Net weight;1487336.89
Ireland;2023;4;Groundfish;Saithe (=Coalfish);45744.38;Net weight;544814.18
Ireland;2023;4;Crustaceans;Shrimp, miscellaneous;76771.43;Net weight;1449098.43
Ireland;2023;4;Groundfish;Haddock;75981.79;Net weight;983098.05
Ireland;2023;4;Miscellaneous aquatic products;Other unspecified products;161308.26;Net weight;2242672.16
Ireland;2023;5;Groundfish;Haddock;71870.17;Net weight;912804.94
Ireland;2023;5;Groundfish;Cod;77035.5;Net weight;1101822.45
Ireland;2023;5;Crustaceans;Shrimp, miscellaneous;42446.28;Net weight;914237.42
Ireland;2023;5;Small pelagics;Mackerel;26444.82;Net weight;354857.73
Ireland;2023;5;Groundfish;Saithe (=Coalfish);18078.5;Net weight;228310.74
Ireland;2023;5;Salmonids;Salmon;436539.17;Net weight;9176476.16
Ireland;2023;5;Groundfish;Hake;67031.55;Net weight;931347.83
Ireland;2023;5;Miscellaneous aquatic products;Other unspecified products;115990.38;Net weight;1772741.18
Ireland;2023;6;Salmonids;Salmon;410762.18;Net weight;8951650.76
Ireland;2023;6;Groundfish;Cod;75528.03;Net weight;1106227.87
Ireland;2023;6;Miscellaneous aquatic products;Other unspecified products;98440.74;Net weight;1636524.46
Ireland;2023;6;Small pelagics;Mackerel;23454.12;Net weight;295378.31
Ireland;2023;6;Groundfish;Hake;49400.67;Net weight;744206.78
Ireland;2023;6;Groundfish;Saithe (=Coalfish);18200.25;Net weight;213443.3
Ireland;2023;6;Crustaceans;Shrimp, miscellaneous;70581.08;Net weight;1542028.49
Ireland;2023;6;Groundfish;Haddock;47851.52;Net weight;658950.65
Ireland;2023;7;Salmonids;Salmon;527311.56;Net weight;1.112833718E7
Ireland;2023;7;Groundfish;Cod;89937.25;Net weight;1363483.85
Ireland;2023;7;Small pelagics;Mackerel;31270.8;Net weight;386109.53
Ireland;2023;7;Groundfish;Hake;58319.84;Net weight;829877.68
